SaleID,Time,DrugID,DrugName,DrugClass,Price,ExpDate,Quantity
12005226.0,4/1/2023 9:04,D0051,Ciprofloxacin,Psychotropic,106.0,2024-03,6.0
12005226.0,4/1/2023 9:04,D0051,Olmesartan,Analgesic,170.0,2023-10,2.0
12005227.0,4/1/2023 9:05,D0049,Donepezil,Antiviral,184.0,2024-03,5.0
12005227.0,4/1/2023 9:05,D0061,Fexofenadine,Hormonal,54.0,2023-05,6.0
12005227.0,4/1/2023 9:05,D0034,Naproxen,Respiratory,50.0,2024-01,3.0
12005227.0,4/1/2023 9:05,D0085,Pantoprazole,Immunosuppressant,50.0,2023-11,2.0
12005228.0,4/1/2023 9:06,D0028,Dorzolamide,Immunosuppressant,28.0,2024-03,1.0
12005228.0,4/1/2023 9:06,D0030,Allopurinol,Gastrointestinal,123.0,2023-10,8.0
12005228.0,4/1/2023 9:06,D0049,Donepezil,Antiviral,184.0,2024-02,1.0
12005229.0,4/1/2023 9:07,D0088,Bupropion,Respiratory,27.0,2023-08,9.0
12005229.0,4/1/2023 9:07,D0071,Fenofibrate,Hormonal,115.0,2023-07,4.0
12005229.0,4/1/2023 9:07,D0032,Esomeprazole,Gastrointestinal,138.0,2024-01,7.0
12005229.0,4/1/2023 9:07,D0095,Tiagabine,Respiratory,96.0,2024-03,6.0
12005229.0,4/1/2023 9:07,D0049,Metoprolol,Diabetes,66.0,2023-12,5.0
12005230.0,4/1/2023 9:08,D0049,Donepezil,Antiviral,184.0,2023-07,6.0
12005230.0,4/1/2023 9:08,D0064,Azithromycin,Psychotropic,191.0,2023-11,7.0
12005230.0,4/1/2023 9:08,D0100,Sitagliptin,Psychotropic,194.0,2024-03,5.0
12005230.0,4/1/2023 9:08,D0022,Amoxicillin,Cardiovascular,31.0,2023-09,9.0
12005230.0,4/1/2023 9:08,D0030,Montelukast,Dermatological,93.0,2024-02,4.0
12005231.0,4/1/2023 9:09,D0030,Hydrochlorothiazide,Cardiovascular,164.0,2024-03,6.0
12005231.0,4/1/2023 9:09,D0085,Pantoprazole,Immunosuppressant,50.0,2023-11,2.0
12005232.0,4/1/2023 9:10,D0029,Nebivolol,Immunosuppressant,79.0,2023-05,3.0
12005233.0,4/1/2023 9:11,D0049,Donepezil,Antiviral,184.0,2023-05,1.0
12005233.0,4/1/2023 9:11,D0068,Aripiprazole,Hormonal,183.0,2024-03,3.0
12005233.0,4/1/2023 9:11,D0032,Esomeprazole,Gastrointestinal,138.0,2023-10,7.0
12005233.0,4/1/2023 9:11,D0042,Saxagliptin,Antibiotic,189.0,2024-02,4.0
12005233.0,4/1/2023 9:11,D0083,Acetaminophen,Neurological,75.0,2023-10,1.0
12005234.0,4/1/2023 9:12,D0073,Doxycycline,Cardiovascular,188.0,2023-08,6.0
12005234.0,4/1/2023 9:12,D0033,Levothyroxine,Oncology,31.0,2023-06,3.0
12005234.0,4/1/2023 9:12,D0012,Ibuprofen,Gastrointestinal,84.0,2023-06,3.0
12005234.0,4/1/2023 9:12,D0004,Duloxetine,Neurological,156.0,2023-07,3.0
12005235.0,4/1/2023 9:13,D0013,Travoprost,Dermatological,198.0,2023-05,2.0
12005235.0,4/1/2023 9:13,D0029,Nebivolol,Immunosuppressant,79.0,2024-02,5.0
12005235.0,4/1/2023 9:13,D0088,Bupropion,Respiratory,27.0,2023-06,3.0
12005236.0,4/1/2023 9:14,D0088,Fluoxetine,Antihistamine,56.0,2023-12,7.0
12005236.0,4/1/2023 9:14,D0019,Warfarin,Antibiotic,28.0,2023-07,10.0
12005236.0,4/1/2023 9:14,D0004,Duloxetine,Neurological,156.0,2023-09,6.0
12005237.0,4/1/2023 9:15,D0075,Risperidone,Antibiotic,129.0,2023-09,1.0
12005237.0,4/1/2023 9:15,D0079,Topiramate,Hormonal,29.0,2023-06,5.0
12005237.0,4/1/2023 9:15,D0065,Trazodone,Psychotropic,45.0,2023-08,7.0
12005237.0,4/1/2023 9:15,D0024,Irbesartan,Immunosuppressant,102.0,2023-07,4.0
12005237.0,4/1/2023 9:15,D0049,Donepezil,Antiviral,184.0,2023-07,10.0
12005238.0,4/1/2023 9:16,D0010,Pravastatin,Dermatological,62.0,2024-01,5.0
12005238.0,4/1/2023 9:16,D0047,Ezetimibe,Psychotropic,140.0,2023-12,2.0
12005239.0,4/1/2023 9:17,D0088,Bupropion,Respiratory,27.0,2023-11,8.0
12005239.0,4/1/2023 9:17,D0019,Amiodarone,Psychotropic,127.0,2023-10,2.0
12005239.0,4/1/2023 9:17,D0061,Fexofenadine,Hormonal,54.0,2023-11,4.0
