SaleID,Time,DrugID,DrugName,DrugClass,Price,ExpDate,Quantity
12005226,4/1/2023 9:04,D0051,Ciprofloxacin,Psychotropic,106,2024-03,6
12005226,4/1/2023 9:04,D0051,Olmesartan,Analgesic,170,2023-10,2
12005227,4/1/2023 9:05,D0049,Donepezil,Antiviral,184,2024-03,5
12005227,4/1/2023 9:05,D0061,Fexofenadine,Hormonal,54,2023-05,6
12005227,4/1/2023 9:05,D0034,Naproxen,Respiratory,50,2024-01,3
12005227,4/1/2023 9:05,D0085,Pantoprazole,Immunosuppressant,50,2023-11,2
12005228,4/1/2023 9:06,D0028,Dorzolamide,Immunosuppressant,28,2024-03,1
12005228,4/1/2023 9:06,D0030,Allopurinol,Gastrointestinal,123,2023-10,8
12005228,4/1/2023 9:06,D0049,Donepezil,Antiviral,184,2024-02,1
12005229,4/1/2023 9:07,D0088,Bupropion,Respiratory,27,2023-08,9
12005229,4/1/2023 9:07,D0071,Fenofibrate,Hormonal,115,2023-07,4
12005229,4/1/2023 9:07,D0032,Esomeprazole,Gastrointestinal,138,2024-01,7
12005229,4/1/2023 9:07,D0095,Tiagabine,Respiratory,96,2024-03,6
12005229,4/1/2023 9:07,D0049,Metoprolol,Diabetes,66,2023-12,5
12005230,4/1/2023 9:08,D0049,Donepezil,Antiviral,184,2023-07,6
12005230,4/1/2023 9:08,D0064,Azithromycin,Psychotropic,191,2023-11,7
12005230,4/1/2023 9:08,D0100,Sitagliptin,Psychotropic,194,2024-03,5
12005230,4/1/2023 9:08,D0022,Amoxicillin,Cardiovascular,31,2023-09,9
12005230,4/1/2023 9:08,D0030,Montelukast,Dermatological,93,2024-02,4
12005231,4/1/2023 9:09,D0030,Hydrochlorothiazide,Cardiovascular,164,2024-03,6
12005231,4/1/2023 9:09,D0085,Pantoprazole,Immunosuppressant,50,2023-11,2
12005232,4/1/2023 9:10,D0029,Nebivolol,Immunosuppressant,79,2023-05,3
12005233,4/1/2023 9:11,D0049,Donepezil,Antiviral,184,2023-05,1
12005233,4/1/2023 9:11,D0068,Aripiprazole,Hormonal,183,2024-03,3
12005233,4/1/2023 9:11,D0032,Esomeprazole,Gastrointestinal,138,2023-10,7
12005233,4/1/2023 9:11,D0042,Saxagliptin,Antibiotic,189,2024-02,4
12005233,4/1/2023 9:11,D0083,Acetaminophen,Neurological,75,2023-10,1
12005234,4/1/2023 9:12,D0073,Doxycycline,Cardiovascular,188,2023-08,6
12005234,4/1/2023 9:12,D0033,Levothyroxine,Oncology,31,2023-06,3
12005234,4/1/2023 9:12,D0012,Ibuprofen,Gastrointestinal,84,2023-06,3
12005234,4/1/2023 9:12,D0004,Duloxetine,Neurological,156,2023-07,3
12005235,4/1/2023 9:13,D0013,Travoprost,Dermatological,198,2023-05,2
12005235,4/1/2023 9:13,D0029,Nebivolol,Immunosuppressant,79,2024-02,5
12005235,4/1/2023 9:13,D0088,Bupropion,Respiratory,27,2023-06,3
12005236,4/1/2023 9:14,D0088,Fluoxetine,Antihistamine,56,2023-12,7
12005236,4/1/2023 9:14,D0019,Warfarin,Antibiotic,28,2023-07,10
12005236,4/1/2023 9:14,D0004,Duloxetine,Neurological,156,2023-09,6
12005237,4/1/2023 9:15,D0075,Risperidone,Antibiotic,129,2023-09,1
12005237,4/1/2023 9:15,D0079,Topiramate,Hormonal,29,2023-06,5
12005237,4/1/2023 9:15,D0065,Trazodone,Psychotropic,45,2023-08,7
12005237,4/1/2023 9:15,D0024,Irbesartan,Immunosuppressant,102,2023-07,4
12005237,4/1/2023 9:15,D0049,Donepezil,Antiviral,184,2023-07,10
12005238,4/1/2023 9:16,D0010,Pravastatin,Dermatological,62,2024-01,5
12005238,4/1/2023 9:16,D0047,Ezetimibe,Psychotropic,140,2023-12,2
12005239,4/1/2023 9:17,D0088,Bupropion,Respiratory,27,2023-11,8
12005239,4/1/2023 9:17,D0019,Amiodarone,Psychotropic,127,2023-10,2
12005239,4/1/2023 9:17,D0061,Fexofenadine,Hormonal,54,2023-11,4
12005240,4/1/2023 9:18,D0060,Lamotrigine,Antihistamine,166,2023-11,7
12005240,4/1/2023 9:18,D0051,Ciprofloxacin,Psychotropic,106,2023-05,3
12005240,4/1/2023 9:18,D0029,Alprazolam,Analgesic,141,2023-12,7
12005240,4/1/2023 9:18,D0076,Enalapril,Antiviral,112,2023-06,7
12005241,4/1/2023 9:19,D0052,Clonazepam,Oncology,181,2023-07,8
12005242,4/1/2023 9:20,D0033,Mirtazapine,Antiviral,158,2023-08,10
12005243,4/1/2023 9:21,D0028,Dorzolamide,Immunosuppressant,28,2024-02,2
12005243,4/1/2023 9:21,D0033,Mirtazapine,Antiviral,158,2023-05,8
12005243,4/1/2023 9:21,D0063,Selegiline,Neurological,82,2023-12,5
12005244,4/1/2023 9:22,D0079,Topiramate,Hormonal,29,2023-06,7
12005244,4/1/2023 9:22,D0073,Quetiapine,Oncology,41,2023-05,10
12005244,4/1/2023 9:22,D0050,Lansoprazole,Analgesic,34,2023-10,5
12005245,4/1/2023 9:23,D0030,Allopurinol,Gastrointestinal,123,2024-02,10
12005245,4/1/2023 9:23,D0030,Montelukast,Dermatological,93,2023-12,2
12005245,4/1/2023 9:23,D0028,Dorzolamide,Immunosuppressant,28,2023-08,8
12005246,4/1/2023 9:24,D0068,Tetracycline,Immunosuppressant,149,2023-11,7
12005247,4/1/2023 9:25,D0059,Venlafaxine,Dermatological,58,2023-06,4
12005247,4/1/2023 9:25,D0063,Selegiline,Neurological,82,2024-02,2
12005247,4/1/2023 9:25,D0021,Clopidogrel,Antiviral,78,2024-02,1
12005247,4/1/2023 9:25,D0083,Gabapentin,Analgesic,170,2023-09,7
12005247,4/1/2023 9:25,D0051,Olmesartan,Analgesic,170,2024-03,1
12005248,4/1/2023 9:26,D0030,Hydrochlorothiazide,Cardiovascular,164,2024-01,3
12005248,4/1/2023 9:26,D0081,Propranolol,Gastrointestinal,140,2024-02,7
12005248,4/1/2023 9:26,D0098,Tamsulosin,Oncology,122,2023-08,10
12005249,4/1/2023 9:27,D0081,Propranolol,Gastrointestinal,140,2023-05,3
12005249,4/1/2023 9:27,D0026,Senna,Immunosuppressant,46,2024-03,8
12005249,4/1/2023 9:27,D0057,Nizatidine,Cardiovascular,50,2023-07,3
12005250,4/1/2023 9:28,D0083,Acetaminophen,Neurological,75,2023-07,7
12005250,4/1/2023 9:28,D0085,Pantoprazole,Immunosuppressant,50,2023-05,5
12005251,4/1/2023 9:29,D0085,Rivastigmine,Hormonal,72,2023-05,2
12005252,4/1/2023 9:30,D0085,Pantoprazole,Immunosuppressant,50,2023-11,9
12005252,4/1/2023 9:30,D0077,Digoxin,Antibiotic,186,2024-03,2
12005252,4/1/2023 9:30,D0052,Cephalexin,Antibiotic,64,2023-09,2
12005252,4/1/2023 9:30,D0083,Pioglitazone,Diabetes,129,2023-08,8
12005252,4/1/2023 9:30,D0075,Risperidone,Antibiotic,129,2024-02,5
12005253,4/1/2023 9:31,D0042,Saxagliptin,Antibiotic,189,2023-11,10
12005253,4/1/2023 9:31,D0049,Metoprolol,Diabetes,66,2024-03,8
12005253,4/1/2023 9:31,D0076,Enalapril,Antiviral,112,2024-01,7
12005254,4/1/2023 9:32,D0073,Quetiapine,Oncology,41,2024-03,6
12005254,4/1/2023 9:32,D0088,Furosemide,Hormonal,138,2024-03,3
12005254,4/1/2023 9:32,D0067,Clindamycin,Respiratory,189,2023-12,4
12005255,4/1/2023 9:33,D0032,Esomeprazole,Gastrointestinal,138,2023-06,8
12005255,4/1/2023 9:33,D0033,Cetirizine,Respiratory,193,2023-05,6
12005256,4/1/2023 9:34,D0033,Mirtazapine,Antiviral,158,2023-08,8
12005257,4/1/2023 9:35,D0001,Amlodipine,Antiviral,160,2023-12,9
12005257,4/1/2023 9:35,D0041,Lorazepam,Neurological,149,2023-10,1
12005257,4/1/2023 9:35,D0065,Trazodone,Psychotropic,45,2023-05,8
12005258,4/1/2023 9:36,D0080,Carvedilol,Antifungal,176,2023-10,8
12005258,4/1/2023 9:36,D0004,Duloxetine,Neurological,156,2023-05,4
12005258,4/1/2023 9:36,D0058,Losartan,Psychotropic,126,2024-01,1
12005259,4/1/2023 9:37,D0099,Omeprazole,Psychotropic,116,2023-11,9
12005259,4/1/2023 9:37,D0004,Levetiracetam,Immunosuppressant,184,2023-07,2
12005260,4/1/2023 9:38,D0068,Tetracycline,Immunosuppressant,149,2023-10,8
12005260,4/1/2023 9:38,D0026,Senna,Immunosuppressant,46,2023-10,9
12005260,4/1/2023 9:38,D0095,Tiagabine,Respiratory,96,2023-05,3
12005261,4/1/2023 9:39,D0012,Ibuprofen,Gastrointestinal,84,2023-11,10
12005261,4/1/2023 9:39,D0064,Azithromycin,Psychotropic,191,2024-02,5
12005262,4/1/2023 9:40,D0064,Azithromycin,Psychotropic,191,2024-01,4
12005262,4/1/2023 9:40,D0019,Warfarin,Antibiotic,28,2023-10,3
12005262,4/1/2023 9:40,D0093,Docusate,Neurological,70,2023-06,5
12005262,4/1/2023 9:40,D0050,Lansoprazole,Analgesic,34,2023-08,7
12005262,4/1/2023 9:40,D0049,Donepezil,Antiviral,184,2024-01,9
12005263,4/1/2023 9:41,D0056,Lactulose,Hormonal,184,2023-05,6
12005263,4/1/2023 9:41,D0019,Amiodarone,Psychotropic,127,2023-05,7
12005263,4/1/2023 9:41,D0071,Insulin Glargine,Dermatological,46,2023-08,1
12005263,4/1/2023 9:41,D0041,Lorazepam,Neurological,149,2023-05,1
12005263,4/1/2023 9:41,D0083,Acetaminophen,Neurological,75,2024-03,6
12005264,4/1/2023 9:42,D0088,Fluoxetine,Antihistamine,56,2023-05,3
12005264,4/1/2023 9:42,D0100,Sitagliptin,Psychotropic,194,2023-06,7
12005264,4/1/2023 9:42,D0047,Ezetimibe,Psychotropic,140,2024-01,6
12005264,4/1/2023 9:42,D0060,Lamotrigine,Antihistamine,166,2023-06,3
12005264,4/1/2023 9:42,D0058,Losartan,Psychotropic,126,2023-06,8
12005265,4/1/2023 9:43,D0029,Meloxicam,Antifungal,128,2023-08,6
12005265,4/1/2023 9:43,D0034,Naproxen,Respiratory,50,2023-08,2
12005265,4/1/2023 9:43,D0079,Bisacodyl,Oncology,84,2024-01,10
12005265,4/1/2023 9:43,D0017,Polyethylene Glycol,Diabetes,111,2024-03,9
12005266,4/1/2023 9:44,D0095,Valsartan,Oncology,44,2023-05,7
12005266,4/1/2023 9:44,D0048,Citalopram,Immunosuppressant,187,2023-07,4
12005266,4/1/2023 9:44,D0030,Hydrochlorothiazide,Cardiovascular,164,2023-08,10
12005266,4/1/2023 9:44,D0092,Timolol,Respiratory,169,2024-01,1
12005267,4/1/2023 9:45,D0029,Nebivolol,Immunosuppressant,79,2023-10,7
12005267,4/1/2023 9:45,D0029,Alprazolam,Analgesic,141,2023-10,3
12005267,4/1/2023 9:45,D0076,Enalapril,Antiviral,112,2023-07,4
12005267,4/1/2023 9:45,D0100,Sitagliptin,Psychotropic,194,2023-09,4
12005268,4/1/2023 9:46,D0013,Travoprost,Dermatological,198,2023-06,5
12005268,4/1/2023 9:46,D0088,Bupropion,Respiratory,27,2023-08,9
12005268,4/1/2023 9:46,D0029,Oxycodone,Cardiovascular,87,2024-03,6
12005268,4/1/2023 9:46,D0030,Montelukast,Dermatological,93,2023-10,5
12005268,4/1/2023 9:46,D0028,Dorzolamide,Immunosuppressant,28,2023-08,7
12005269,4/1/2023 9:47,D0058,Losartan,Psychotropic,126,2023-10,1
12005269,4/1/2023 9:47,D0085,Rivastigmine,Hormonal,72,2024-02,4
12005269,4/1/2023 9:47,D0062,Prednisone,Antihistamine,75,2023-12,4
12005269,4/1/2023 9:47,D0083,Pioglitazone,Diabetes,129,2024-03,7
12005270,4/1/2023 9:48,D0098,Tamsulosin,Oncology,122,2023-05,7
12005270,4/1/2023 9:48,D0048,Citalopram,Immunosuppressant,187,2024-02,3
12005270,4/1/2023 9:48,D0018,Simvastatin,Respiratory,124,2023-12,6
12005270,4/1/2023 9:48,D0036,Famotidine,Antihistamine,87,2023-05,3
12005270,4/1/2023 9:48,D0075,Risperidone,Antibiotic,129,2023-08,3
12005271,4/1/2023 9:49,D0065,Trazodone,Psychotropic,45,2024-03,4
12005271,4/1/2023 9:49,D0052,Cephalexin,Antibiotic,64,2024-01,4
12005272,4/1/2023 9:50,D0099,Omeprazole,Psychotropic,116,2023-10,2
12005273,4/1/2023 9:51,D0073,Quetiapine,Oncology,41,2023-07,1
12005273,4/1/2023 9:51,D0067,Clindamycin,Respiratory,189,2023-12,1
12005274,4/1/2023 9:52,D0092,Timolol,Respiratory,169,2023-11,3
12005274,4/1/2023 9:52,D0052,Clonazepam,Oncology,181,2023-10,8
12005275,4/1/2023 9:53,D0079,Topiramate,Hormonal,29,2023-11,6
12005275,4/1/2023 9:53,D0058,Losartan,Psychotropic,126,2024-02,7
12005276,4/1/2023 9:54,D0077,Digoxin,Antibiotic,186,2023-12,3
12005276,4/1/2023 9:54,D0056,Zolpidem,Antifungal,122,2023-06,7
12005276,4/1/2023 9:54,D0051,Ciprofloxacin,Psychotropic,106,2023-10,10
12005277,4/1/2023 9:55,D0068,Tetracycline,Immunosuppressant,149,2023-06,8
12005278,4/1/2023 9:56,D0073,Quetiapine,Oncology,41,2024-02,4
12005278,4/1/2023 9:56,D0003,Glipizide,Dermatological,97,2023-12,2
12005278,4/1/2023 9:56,D0098,Tamsulosin,Oncology,122,2023-09,9
12005278,4/1/2023 9:56,D0006,Escitalopram,Diabetes,110,2023-05,9
